ScientificName,TaxonID,Date,Latitude,Longitude,Municipality
Emberiza aureola,http://tun.fi/MX.35169,1971-07-20,64.900002,25.6,Kempele
Emberiza aureola,http://tun.fi/MX.35169,1968-07-17,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1984-06-06 [20],62.219603,30.497509,TohmajÃ¤rvi
Emberiza aureola,http://tun.fi/MX.35169,1985-06-05,62.212322,30.60633,TohmajÃ¤rvi
Emberiza aureola,http://tun.fi/MX.35169,2007-06-12,62.229911,29.400821,Kitee
Emberiza aureola,http://tun.fi/MX.35169,1960-05-31 - 2006-10-25,,,
Emberiza aureola,http://tun.fi/MX.35169,2001-07-03,64.826891,25.313126,Liminka
Emberiza aureola,http://tun.fi/MX.35169,2000-06-17,63.553054,27.384495,Iisalmi
Emberiza aureola,http://tun.fi/MX.35169,2007-06-03,62.497556,21.73451,Teuva
Emberiza aureola,http://tun.fi/MX.35169,2004-05-28 [21:30-23:30],61.129811,24.75769,HÃ¤meenlinna
Emberiza aureola,http://tun.fi/MX.35169,1996-09-01,59.811106,22.895427,Hanko
