 Country,Collection,Species,WGS84 N,WGS84 E,Time
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,64.41573,30.109204,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,64.41573,30.109204,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,64.41573,30.109204,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.134975,28.14874,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.927723,28.24136,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,69.823861,25.69702,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.101644,23.541354,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.101644,23.541354,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,63.519965,30.011287,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,62.624008,29.920037,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,64.415571,23.883692,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,63.548087,28.002209,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.206666,30.32803,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.927659,25.75004,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238372,25.884538,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,63.548035,25.990909,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,62.651015,26.021545,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.927723,28.24136,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.206666,30.32803,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.927659,25.75004,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.206666,30.32803,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,62.651065,27.971797,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,65.341712,25.922667,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,63.519965,30.011287,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,65.341712,25.922667,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238372,25.884538,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,69.823928,28.294008,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,62.651065,27.971797,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,62.569702,22.131128,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.927659,25.75004,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.927659,25.75004,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,64.444987,28.034849,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
