Country,Collection,WGS84 N,WGS84 E,Species,Time
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.594407,24.521822,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [14:30-16:05]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.594407,24.521822,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [14:30-16:05]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.594407,24.521822,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [14:30-16:05]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.594407,24.521822,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [14:30-16:05]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.594407,24.521822,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [14:30-16:05]
Suomi,Finnish Insect Database,60.968956,24.524168,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05
Suomi,Finnish Insect Database,61.568671,24.521667,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05
Suomi,Finnish Insect Database,60.257122,24.738834,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05
Suomi,Finnish Insect Database,62.872986,27.595948,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05
Suomi,Finnish Insect Database,64.197823,24.217023,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05
Suomi,Finnish Insect Database,61.16336,28.687494,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05
Suomi,Hatikka.fi observations,61.313061,28.555692,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
