"species","longitude","latitude"
"Ranunculus glacialis",21.050985,69.201209
"Ranunculus glacialis",21.079606,69.175668
"Ranunculus glacialis",21.052107,69.183718
"Ranunculus glacialis",21.104667,69.17653
"Ranunculus glacialis",21.102247,69.185447
"Ranunculus glacialis",21.049664,69.192633
"Ranunculus glacialis",21.077176,69.184584
"Ranunculus glacialis",21.074744,69.193501
"Ranunculus glacialis",21.047214,69.20155
"Ranunculus glacialis",20.934078,69.062559
"Ranunculus glacialis",20.90667,69.070587
"Ranunculus glacialis",19.1306,68.8211
"Ranunculus glacialis",21.464924,69.251488
"Ranunculus glacialis",21.416898,69.240943
"Ranunculus glacialis",21.43976,69.250678
"Ranunculus glacialis",21.419196,69.232021
"Ranunculus glacialis",21.44205,69.241756
"Ranunculus glacialis",21.421492,69.223099
"Ranunculus glacialis",21.437468,69.259601
"Ranunculus glacialis",21.462642,69.260411
"Ranunculus glacialis",21.469481,69.233643
"Ranunculus glacialis",21.467203,69.242566
"Ranunculus glacialis",21.430656,69.18741
"Ranunculus glacialis",21.478571,69.197952
"Ranunculus glacialis",21.505933,69.189833
"Ranunculus glacialis",21.426077,69.205254
"Ranunculus glacialis",21.400969,69.204438
"Ranunculus glacialis",20.858954,69.047722
"Ranunculus glacialis",20.847489,69.052712
"Ranunculus glacialis",21.675084,69.222138
"Ranunculus glacialis",21.645539,69.239208
"Ranunculus glacialis",21.668503,69.248914
"Ranunculus glacialis",21.643333,69.248134
"Ranunculus glacialis",21.666305,69.257841
"Ranunculus glacialis",21.128751,69.087357
"Ranunculus glacialis",21.297192,69.021071
"Ranunculus glacialis",21.252086,69.001561
"Ranunculus glacialis",21.276958,69.002398
"Ranunculus glacialis",21.274629,69.011317
"Ranunculus glacialis",21.279283,68.993478
"Ranunculus glacialis",20.899567,69.056641
"Ranunculus glacialis",21.307571,69.174379
"Ranunculus glacialis",21.344243,69.130604
"Ranunculus glacialis",21.341926,69.139524
"Ranunculus glacialis",21.319223,69.129777
"Ranunculus glacialis",21.271535,69.119191
"Ranunculus glacialis",21.289531,69.146785
"Ranunculus glacialis",21.332641,69.175207
"Ranunculus glacialis",21.209687,69.162106
"Ranunculus glacialis",20.848639,69.052395
"Ranunculus glacialis",20.849176,69.051739
"Ranunculus glacialis",21.268748,69.173573
"Ranunculus glacialis",21.27013,69.171306
"Ranunculus glacialis",21.249733,69.292952
"Ranunculus glacialis",21.251832,69.2895
"Ranunculus glacialis",21.226634,69.288658
"Ranunculus glacialis",21.20383,69.278895
"Ranunculus glacialis",21.256574,69.271661
"Ranunculus glacialis",21.279395,69.281418
"Ranunculus glacialis",21.284112,69.263578
"Ranunculus glacialis",21.281754,69.272499
"Ranunculus glacialis",21.233774,69.261901
"Ranunculus glacialis",21.208608,69.261057
"Ranunculus glacialis",21.188235,69.242372
"Ranunculus glacialis",21.190627,69.233454
"Ranunculus glacialis",21.193016,69.224536
"Ranunculus glacialis",21.21576,69.234301
"Ranunculus glacialis",21.220516,69.216464
"Ranunculus glacialis",21.218139,69.225382
"Ranunculus glacialis",21.394056,69.231203
"Ranunculus glacialis",21.36892,69.230383
"Ranunculus glacialis",21.419196,69.232021
"Ranunculus glacialis",21.341456,69.238479
"Ranunculus glacialis",21.316313,69.237651
"Ranunculus glacialis",21.404638,69.229973
"Ranunculus glacialis",21.132785,69.266172
"Ranunculus glacialis",21.132786,69.266155
"Ranunculus glacialis",21.155875,69.268276
"Ranunculus glacialis",21.183445,69.260209
"Ranunculus glacialis",21.181047,69.269127
"Ranunculus glacialis",21.128284,69.276338
"Ranunculus glacialis",20.881739,69.069696
"Ranunculus glacialis",20.854302,69.077715
"Ranunculus glacialis",20.879241,69.07861
"Ranunculus glacialis",21.058025,68.976907
"Ranunculus glacialis",20.864317,69.042063
"Ranunculus glacialis",20.850989,69.052343
"Ranunculus glacialis",20.861945,69.04603
"Ranunculus glacialis",20.861945,69.04603
"Ranunculus glacialis",20.80443,69.075915
"Ranunculus glacialis",21.428368,69.196332
"Ranunculus glacialis",20.826846,69.085729
"Ranunculus glacialis",21.499154,69.216603
"Ranunculus glacialis",21.551651,69.209279
"Ranunculus glacialis",21.528782,69.199557
"Ranunculus glacialis",21.652145,69.212433
"Ranunculus glacialis",21.677274,69.213212
"Ranunculus glacialis",21.702404,69.213988
"Ranunculus glacialis",21.483269,69.279064
"Ranunculus glacialis",21.377857,69.293653
"Ranunculus glacialis",21.325098,69.300923
"Ranunculus glacialis",21.350315,69.30175
"Ranunculus glacialis",21.265189,69.305736
"Ranunculus glacialis",21.299883,69.300092
"Ranunculus glacialis",21.044768,69.210466
"Ranunculus glacialis",21.049664,69.192633
"Ranunculus glacialis",21.066716,69.13022
"Ranunculus glacialis",21.089305,69.14
"Ranunculus glacialis",21.091724,69.131084
"Ranunculus glacialis",21.126352,69.096274
"Ranunculus glacialis",21.126352,69.096274
"Ranunculus glacialis",21.153713,69.088212
"Ranunculus glacialis",21.296989,69.017015
"Ranunculus glacialis",21.299512,69.012151
"Ranunculus glacialis",21.249749,69.010481
"Ranunculus glacialis",21.297192,69.021071
"Ranunculus glacialis",21.11589,69.207486
