"species","longitude","latitude"
"Odocoileus virginianus",25.010245,67.707095
"Nyctereutes procyonoides",25.251746,61.061825
"Nyctereutes procyonoides",25.215091,60.267586
"Neovison vison",24.172782,63.703164
"Vulpes vulpes",22.7,60.7
"Mustela erminea",25.499457,64.972418
"Sciurus vulgaris",25.74867,66.523981
"Sciurus vulgaris",21.534714,61.145279
"Sciurus vulgaris",25.08286,60.23411
"Sciurus vulgaris",25.12925,60.23842
"Nyctereutes procyonoides",27.701749,62.878362
"Nyctereutes procyonoides",25.751197,60.992266
"Neovison vison",24.172387,63.703066
"Neovison vison",24.687459,60.09083
"Capreolus capreolus",22.240683,60.418372
"Apodemus flavicollis",23.83095,61.455147
"Vulpes vulpes",24.497385,67.422079
"Vulpes vulpes",24.439929,60.135332
"Sciurus vulgaris",22.200492,60.427956
"Sciurus vulgaris",25.1293,60.2387
"Rattus norvegicus",24.95738,60.17321
"Vulpes vulpes",24.926889,60.165431
"Pteromys volans",25.821791,63.079063
"Sciurus vulgaris",25.018642,60.110161
"Pteromys volans",24.98358,60.249682
"Lepus europaeus",23.8539,61.44641
"Lepus timidus",21.59705,59.82715
"Nyctereutes procyonoides",23.236534,60.433751
"Nyctereutes procyonoides",24.899474,60.216487
"Pteromys volans",24.983001,60.248989
"Castor fiber",27.42532,61.69612
"Nyctereutes procyonoides",28.53507,61.13552
"Sciurus vulgaris",23.13004,60.38796
"Lepus europaeus",23.13004,60.38796
"Myodes glareolus",25.749,66.524
"Sciurus vulgaris",25.748611,66.523978
"Sciurus vulgaris",22.25457,60.329738
"Capreolus capreolus",25.05987,60.17683
"Sciurus vulgaris",25.53112,65.02443
"Odocoileus virginianus",28.638416,62.289961
"Nyctereutes procyonoides",23.577938,61.495122
"Meles meles",25.092041,60.228924
"Vulpes vulpes",25.737,66.51
"Sciurus vulgaris",25.749,66.524
"Sciurus vulgaris",21.529623,61.122708
"Nyctereutes procyonoides",24.39665,60.378885
"Pteromys volans",23.756782,61.331545
"Sciurus vulgaris",25.08494,60.20713
"Vulpes vulpes",24.93685,60.18904
"Neovison vison",27.197975,60.957094
"Neovison vison",27.01812,62.277551
"Oryctolagus cuniculus",25.07593,60.20268
"Oryctolagus cuniculus",24.185346,60.363835
"Oryctolagus cuniculus",24.185346,60.363835
"Sciurus vulgaris",23.07767,60.40714
"Vulpes vulpes",24.444041,60.130887
